category,total_revenue,total_orders,total_items_sold,total_sellers,avg_review_score,delay_rate_pct,avg_delivery_days
agro_industry_and_commerce,70566.10,177,206,32,NULL,3.40,11.22
air_conditioning,53323.56,246,289,51,NULL,3.81,11.79
art,23657.30,195,197,33,1.00,6.09,10.87
arts_and_craftmanship,1814.01,23,24,13,NULL,4.17,5.29
audio,50570.60,348,362,36,2.50,11.60,12.88
auto,578966.65,3810,4140,371,4.33,7.03,11.77
baby,400421.84,2809,2982,240,3.50,7.68,12.06
bed_bath_table,1023434.76,9272,10953,189,3.82,7.03,12.34
books_general_interest,45302.15,496,537,53,5.00,6.15,11.17
books_imported,4418.86,50,57,6,3.00,3.51,7.67
books_technical,18702.23,256,263,25,3.00,7.98,10.23
cds_dvds_musicals,730.00,12,14,1,NULL,0.00,10.36
christmas_supplies,8737.84,125,150,16,5.00,10.00,15.3
cine_photo,6674.47,63,70,13,NULL,5.71,10.13
computers,218684.14,177,199,9,5.00,5.03,13.05
computers_accessories,888724.61,6530,7644,279,4.43,6.49,12.78
consoles_games,148003.37,1018,1089,81,NULL,5.88,13.14
construction_tools_construction,142108.49,736,916,123,4.00,6.33,10.29
construction_tools_lights,39957.00,242,301,36,NULL,7.31,9.25
construction_tools_safety,38773.22,159,183,33,5.00,2.73,11.43
cool_stuff,610204.10,3559,3718,259,3.14,5.84,11.9
costruction_tools_garden,25096.28,190,232,32,NULL,5.60,11.43
costruction_tools_tools,15903.95,97,103,24,NULL,5.83,11.63
diapers_and_hygiene,1500.79,25,37,7,NULL,0.00,10.24
drinks,21529.84,287,361,36,NULL,4.43,10.02
dvds_blu_ray,4542.59,56,61,10,NULL,6.56,12.51
electronics,155043.93,2517,2729,145,3.78,7.59,12.42
fashio_female_clothing,2634.94,36,45,10,NULL,6.67,11.49
fashion_bags_accessories,149329.39,1820,1985,97,3.40,5.29,10.61
fashion_childrens_clothes,519.95,7,7,3,NULL,0.00,8.14
fashion_male_clothing,10452.33,106,125,12,NULL,5.60,12.47
fashion_shoes,23001.46,235,257,12,NULL,4.28,14.93
fashion_sport,2094.52,26,29,10,NULL,3.45,11.38
fashion_underwear_beach,9305.95,117,127,9,NULL,9.45,13.28
fixed_telephony,55315.21,212,255,48,NULL,3.92,12.24
flowers,1110.04,29,33,3,NULL,3.03,10.7
food,28731.15,441,499,56,NULL,7.01,9.1
food_drink,14942.88,221,269,32,3.00,4.09,10.45
furniture_bedroom,19051.80,90,103,22,NULL,6.80,12.76
furniture_decor,711927.69,6307,8160,352,4.00,7.03,12.4
furniture_living_room,67350.70,414,495,55,5.00,7.07,13.29
furniture_mattress_and_upholstery,4323.38,37,37,5,NULL,13.51,13.89
garden_tools,470495.28,3448,4268,227,4.52,6.56,13.23
health_beauty,1233131.72,8647,9465,479,4.16,7.56,11.52
home_appliances,78832.48,747,754,48,3.00,4.51,10.87
home_appliances_2,107953.95,227,231,45,5.00,6.06,13.42
home_comfort_2,760.27,24,30,4,NULL,13.33,14.07
home_confort,58008.45,392,429,20,5.00,9.32,13.04
home_construction,81407.57,483,596,67,NULL,5.87,12.76
housewares,615628.69,5743,6795,452,3.59,5.00,10.46
industry_commerce_and_business,38498.81,232,265,29,4.00,6.42,10.31
kitchen_dining_laundry_garden_furniture,45531.98,241,274,51,NULL,4.38,11.45
la_cuisine,2054.99,13,14,2,NULL,0.00,7.07
luggage_accessories,138701.63,1019,1077,73,NULL,4.18,10.19
market_place,27795.77,274,305,55,NULL,3.61,11.68
music,6034.35,38,38,19,NULL,5.26,11.16
musical_instruments,184315.74,611,651,67,3.13,7.37,12.5
office_furniture,268154.31,1254,1668,30,3.50,7.97,20.39
party_supplies,4465.19,38,42,11,NULL,0.00,8.9
pc_gamer,1306.95,7,8,2,NULL,0.00,8.75
perfumery,390144.65,3086,3340,173,4.13,6.50,11.28
pet_shop,211695.64,1688,1924,132,3.71,4.94,10.76
portateis_cozinha_e_preparadores_de_alimentos,3933.63,13,14,5,NULL,7.14,7.79
security_and_services,283.29,2,2,2,NULL,0.00,15
signaling_and_security,21315.05,138,197,45,NULL,4.06,9.97
small_appliances,182754.12,609,658,97,3.50,4.56,10.33
small_appliances_home_oven_and_coffee,46589.56,72,73,14,NULL,5.48,9.4
sports_leisure,954852.55,7530,8431,466,4.08,6.31,11.69
stationery,223788.69,2264,2466,172,2.75,6.77,12.28
tablets_printing_image,7528.41,79,83,6,NULL,6.02,12.58
telephony,309860.23,4093,4430,142,4.08,6.95,12.38
toys,471286.48,3804,4030,242,4.90,6.35,11.23
unknown,170726.63,1392,1537,247,3.00,7.48,12.31
watches_gifts,1166176.98,5495,5859,95,4.28,7.20,12.19
